489267,09,0044,0725,411,398,384,381,366,355,354,355,351,351,352,353,352,364,370,384,394,397,410,417,434,458,477,504,530,563,592,631,680,745,813,897,1006,1170,1408,1564,1562,1551,1550,1554,1559,1570,1587,1614,1632,1663,1707,1745,1799,1854,1931,2025,4353,2056,2056,2759,2738,2660,2595,2535,2479,2448,2408,2386,2370,2364,2353,2357,1884,1884,1905,1928,1957,2040,2065,2120
490277,09,0044,0725,410,397,386,375,363,353,353,355,345,345,349,352,352,355,374,379,385,400,402,418,435,461,479,504,524,557,596,642,684,739,810,896,1012,1162,1412,1566,1554,1554,1551,1553,1559,1566,1589,1607,1635,1665,1700,1748,1794,1860,1923,2031,4654,2069,2069,2757,2740,2654,2585,2533,2486,2443,2411,2384,2371,2360,2358,2363,1877,1882,1893,1924,1960,2029,2067,2127
491286,09,0044,0725,408,394,390,378,367,359,351,345,350,349,350,350,349,362,373,373,391,394,410,422,438,456,477,504,524,550,593,631,686,743,808,899,1017,1166,1410,1560,1555,1551,1555,1557,1558,1567,1583,1605,1635,1660,1700,1733,1794,1862,1933,2024,4502,2061,2061,2758,2741,2681,2594,2526,2482,2442,2408,2390,2371,2359,2360,2360,1879,1881,1898,1928,1964,2037,2059,2129
492295,09,0044,0725,413,395,388,379,363,356,356,351,348,345,351,353,353,366,376,376,384,391,409,419,437,461,480,495,527,556,601,634,686,737,799,897,1015,1169,1411,1564,1554,1550,1546,1554,1558,1573,1587,1607,1633,1664,1699,1741,1791,1853,1934,2022,4479,2062,2062,2755,2737,2662,2586,2523,2485,2443,2413,2389,2369,2364,2357,2362,1880,1884,1899,1926,1961,2034,2069,2123
493304,09,0044,0725,408,396,384,380,372,361,357,357,346,348,353,351,353,362,377,376,386,396,411,418,434,457,472,504,527,562,589,639,686,744,812,904,1019,1171,1420,1541,1533,1527,1528,1530,1533,1543,1563,1577,1611,1628,1672,1718,1764,1823,1899,1984,2029,4689,2031,2763,2734,2656,2589,2535,2482,2447,2411,2384,2368,2358,2358,2363,1884,1881,1899,1919,1963,501,501,2123
494313,09,0044,0725,414,402,387,380,373,360,360,351,355,346,349,350,355,364,371,378,386,393,411,416,429,454,480,497,527,551,587,639,677,722,801,884,1004,1153,1384,1493,1488,1479,1475,1480,1484,1495,1505,1529,1547,1574,1621,1661,1703,1765,1827,1908,1999,4582,2004,2772,2700,2665,2596,2541,2487,2445,2409,2390,2370,2361,2355,2355,2346,1893,1900,1919,1949,1995,2047,536
495321,09,0044,0725,417,400,386,379,366,363,357,351,349,348,355,352,356,358,373,376,382,395,406,413,436,450,472,498,518,548,584,626,680,733,806,882,996,1145,1375,1418,1415,1406,1402,1411,1414,1421,1434,1451,1473,1496,1532,1568,1623,1677,1731,1818,1902,1960,4537,1956,2670,2660,2595,2540,2486,2447,2421,2393,2371,2361,2357,2354,2363,2109,1903,1917,1953,1988,2041,2108
496330,09,0044,0725,416,400,390,382,369,362,356,355,354,349,349,356,351,364,364,371,380,395,399,414,428,457,468,495,517,553,579,617,675,725,799,874,978,1139,1361,1361,1353,1355,1355,1354,1356,1364,1382,1396,1418,1441,1476,1509,1548,1617,1653,1732,1828,1904,4532,1920,2683,2639,2607,2540,2495,2453,2417,2390,2374,2362,2352,2352,2360,2374,1914,1916,1942,1980,2040,2096
497339,09,0044,0725,409,407,392,387,369,363,359,361,356,348,351,352,355,357,370,370,385,393,398,418,430,455,472,501,516,549,588,628,668,727,787,875,980,1112,1313,1296,1290,1281,1281,1289,1288,1298,1307,1328,1348,1365,1399,1436,1483,1521,1578,1646,1728,1821,4517,4492,1907,2601,2601,2546,2495,2451,2417,2387,2367,2364,2357,2354,2362,2376,2183,1923,1940,1979,2031,2093
498348,09,0044,0725,415,404,394,382,376,359,359,355,352,348,344,350,354,354,366,379,384,390,398,416,432,449,472,489,517,525,578,618,668,720,788,861,972,1117,1248,1231,1226,1220,1218,1220,1222,1227,1239,1254,1274,1292,1323,1353,1384,1435,1492,1552,1624,1719,1812,4430,1853,1859,2577,2549,2494,2452,2420,2388,2372,2361,2356,2356,2360,2372,2396,2140,1952,1972,2030,2079
499357,09,0044,0725,417,406,389,379,373,360,357,349,351,344,350,345,351,356,363,373,380,391,401,415,429,448,462,484,511,543,571,620,664,707,768,849,955,1088,1176,1164,1161,1153,1151,1151,1152,1159,1166,1185,1209,1220,1250,1270,1311,1343,1395,1454,1526,1600,1687,1770,4424,1834,2544,2544,2508,2463,2425,2395,2376,2361,2357,2355,2355,2371,2390,2338,1973,1973,2020,2069
500265,09,0044,0725,413,405,388,379,368,358,351,345,344,344,345,344,350,351,362,371,377,386,398,410,425,435,457,483,514,537,566,605,646,694,768,841,933,1070,1123,1106,1103,1093,1093,1093,1098,1099,1111,1122,1141,1159,1181,1204,1244,1276,1323,1371,1435,1505,1595,1704,4346,2587,1809,2518,2508,2466,2434,2400,2376,2367,2360,2360,2362,2372,2391,2411,2186,1989,2014,2068
501274,09,0044,0725,414,402,386,376,363,357,358,351,348,343,345,343,340,358,361,368,372,385,385,407,421,440,452,480,504,524,567,600,642,696,752,835,930,1061,1056,1041,1038,1031,1036,1032,1035,1038,1045,1057,1070,1090,1110,1139,1158,1200,1229,1285,1340,1408,1489,1586,1684,4890,1761,1761,2488,2471,2436,2405,2383,2365,2361,2360,2365,2374,2391,2413,2424,2107,2024,2056
502283,09,0044,0725,421,398,386,379,370,359,355,351,350,348,345,350,348,355,364,370,384,390,404,410,420,442,464,478,505,533,559,603,652,697,762,846,933,1011,1001,989,984,977,977,974,975,982,991,1003,1017,1033,1053,1072,1105,1134,1177,1221,1267,1336,1415,1501,1605,1670,2555,1744,2467,2466,2429,2404,2378,2365,2355,2355,2362,2368,2380,2405,2438,2223,2048,2052
